Class	Atom count	Exact molecular weight	a(xx)	a(yy)	a(zz)	Formal charge	molecular	molecular.1	a(xx).1	a(yy).1	a(zz).1	Aliphatic atom count	Aliphatic bond count	Aliphatic ring count	Aliphatic ring count of size	ASA	ASA+	ASA-	ASA_H	ASA_P	Asymmetric atom count	Balaban index	Carboaliphatic ring count	Carbo ring count	Chiral center count	Cyclomatic number	fsp3	Fused aliphatic ring count	Fused aromatic ring count	Harary index	Heteroaliphatic ring count	Heteroaromatic ring count	Hyper wiener index	Van der Waals surface area (3D)	Van der Waals surface area (3D).1	Platt index	Polar surface area	Polar surface area.1	Randic index	Rotatable bond count	Szeged index	Van der Waals surface area (3D).2	ASA.1	ASA+.1	ASA-.1	ASA_H.1	ASA_P.1	Wiener index	Wiener polarity	count	logD[pH=7]	logP of major-ms
Active	29	254.057908802	24.87	35.33	16.22	0	26.49	25.48	24.87	35.33	16.22	3	4	0	0	409.13	264.41	144.72	289.85	119.28	0	1.65	0	2	0	3	0	0	2	64.06	0	1	1894	313.68	313.68	96	66.76	66.76	13.58	1	1256	313.68	409.13	264.41	144.72	289.85	119.28	650	33	12	2.87	3.07
Active	18	246.9358469	24.07	28.26	11.80	-1	22.99	21.37	24.07	28.26	11.8	4	4	0	0	345.95	143.57	202.38	293.03	52.92	0	2.11	0	1	0	2	0	0	2	40.58	0	1	623	247.33	247.33	58	35.95	35.95	8.40	0	536	247.33	355.66	113.26	242.40	305.87	49.78	270	23	3	3.45	1.81
Active	41	358.068076	38.44	37.01	26.32	1	35.51	33.92	38.44	37.01	26.32	10	12	1	0	525.22	332.69	192.53	490.59	34.63	1	1.42	1	3	1	3	0.28	0	0	73.78	0	0	4522	454.5	454.50	150	45.71	45.71	18.29	4	1799	454.5	449.76	289.35	160.41	401.60	48.16	1167	32	4	3.04	0.96
Active	29	278.056606834	22.21	16.53	27.99	0	21.29	22.24	22.21	16.53	27.99	13	14	1	0	399.72	249.67	150.05	201.45	198.27	1	1.97	0	1	1	2	0.42	0	0	64.48	1	0	1804	339.09	339.09	106	46.53	46.53	12.79	2	1100	339.09	399.72	249.67	150.05	201.45	198.27	634	36	6	2.86	2.86
Active	49	331.212058453	40.79	44.78	26.19	0	34.59	37.25	40.79	44.78	26.19	13	15	1	0	639.42	534.5	104.92	586.96	52.46	0	1.57	0	0	0	3	0.62	0	0	87.49	1	2	4421	538.9	538.90	184	80.99	80.99	21.32	4	1944	538.9	639.42	534.50	104.92	586.96	52.46	1291	34	7	2.68	2.73
Active	39	380.0249962	35.14	46.79	30.49	0	38.08	37.48	35.14	46.79	30.49	7	9	0	0	527.90	282.22	245.67	503.21	24.68	1	1.42	0	2	1	3	0.17	0	0	84.19	0	1	5290	474.49	474.49	136	27.05	27.05	17.65	6	1944	474.49	527.90	282.22	245.67	503.21	24.68	1406	32	2	5.27	5.35
Active	54	460.13828438	56.53	51.34	33.51	0	47.84	47.13	56.53	51.34	33.51	12	15	0	0	753.02	468.6	284.42	555.68	197.34	0	1.06	0	2	0	4	0.12	0	0	132.87	0	2	26320	624.9	624.90	186	120.71	120.71	24.53	9	5617	624.9	753.02	468.60	284.42	555.68	197.34	4390	49	2	3.47	3.47
Active	25	228.064725514	22.72	30.43	12.62	-1	21.49	21.93	22.72	30.43	12.62	11	12	1	0	394.88	251.22	143.65	256.92	137.95	0	1.72	0	1	0	2	0.18	0	0	49.95	1	0	1890	283.49	283.49	82	87.63	87.63	11.46	2	916	283.49	402.51	236.16	166.35	257.89	144.61	572	23	4	1.38	0.36
Active	29	284.0240218	25.51	20.08	37.63	0	28.50	27.74	25.51	20.08	37.63	8	11	2	0	427.63	264.01	163.63	364.05	63.58	1	1.31	1	3	1	4	0.12	0	0	69.74	1	0	2373	341.92	341.92	110	46.67	46.67	13.34	1	1157	341.92	427.63	264.01	163.63	364.05	63.58	762	36	1	3.42	3.42
Active	46	411.100125221	42.35	48.34	33.29	0	42.66	41.33	42.35	48.34	33.29	12	14	0	0	652.00	386.66	265.34	466.64	185.35	0	1.22	0	2	0	3	0.05	0	0	106.61	0	1	14054	530.85	530.85	152	110.46	110.46	20.99	6	3728	530.85	652.00	386.66	265.34	466.64	185.35	2727	42	3	3.78	3.78
Active	46	381.125946046	50.56	42.81	26.20	0	41.68	39.86	50.56	42.81	26.2	12	13	0	0	544.26	396.74	147.52	431.4	112.87	0	1.33	0	2	0	3	0.16	0	2	97.70	0	1	10330	513.35	513.35	158	88.05	88.05	20.73	4	2927	513.35	544.26	396.74	147.52	431.40	112.87	2171	41	8	2.62	2.62
Active	62	448.185435246	65.07	48.88	35.97	0	48.60	49.97	65.07	48.88	35.97	24	27	3	0	677.95	499.18	178.77	585.99	91.96	3	1.04	2	3	3	4	0.65	2	0	114.44	1	0	16066	665.72	665.72	246	67.43	67.43	26.91	6	4084	665.72	677.95	499.18	178.77	585.99	91.96	3003	48	3	4.19	4.19
Active	53	415.169605123	53.86	51.39	27.93	0	44.27	44.39	53.86	51.39	27.93	13	16	1	0	668.73	466.96	201.77	581.74	87.00	0	1.25	0	3	0	4	0.16	0	0	126.74	1	0	11723	579.37	579.37	188	61.77	61.77	23.88	4	4167	579.37	668.73	466.96	201.77	581.74	87	2709	54	4	4.99	4.99
Active	30	291.0410689	40.39	26.85	16.36	0	27.89	27.86	40.39	26.85	16.36	8	9	0	0	478.05	237.25	240.8	319.11	158.94	0	1.8	0	2	0	2	0	0	0	63.82	0	0	3064	359.12	359.12	96	84.27	84.27	13.75	3	1245	359.12	478.05	237.25	240.80	319.11	158.94	873	27	3	3.66	3.66
Active	46	346.13511375	36.80	33.15	41.68	0	35.98	37.21	36.8	33.15	41.68	13	14	0	0	614.78	445.81	168.97	501.51	113.27	0	1.68	0	1	0	2	0.33	0	0	82.25	0	1	6400	515.31	515.31	160	78.43	78.43	20.37	5	1901	515.31	614.78	445.81	168.97	501.51	113.27	1522	33	3	3.76	3.76
Active	56	411.194677057	48.45	59.19	32.53	1	48.51	46.72	48.45	59.19	32.53	15	19	3	0	606.50	472.62	133.88	499.82	106.68	2	1.14	1	3	2	6	0.35	2	2	130.60	2	1	10532	596.91	596.91	224	63.5	63.50	24.94	3	4443	596.91	606.22	460.56	145.67	529.42	76.8	2591	52	6	2.04	0.69
Active	44	399.071133767	33.31	36.57	45.48	0	41.39	38.45	33.31	36.57	45.48	10	13	1	0	468.65	315.48	153.17	337.98	130.66	0	1.38	0	2	0	4	0.16	0	0	104.16	1	1	7595	506.08	506.08	160	70.05	70.05	19.84	2	2675	506.08	468.65	315.48	153.17	337.98	130.66	1877	44	2	2.89	2.89
Active	47	347.163376928	35.14	30.84	48.00	0	39.99	37.99	35.14	30.84	48	10	11	0	0	611.95	399.5	212.44	507.74	104.21	0	1.41	0	3	0	3	0.14	0	2	93.04	0	0	8488	514.79	514.79	162	61.44	61.44	21.15	5	2762	514.79	611.95	399.50	212.44	507.74	104.21	1903	39	6	3.17	3.17
Active	39	413.0003825	39.43	29.10	46.80	-1	39.12	38.44	39.43	29.10	46.8	14	15	0	0	565.62	329.14	236.48	398.43	167.18	0	1.77	0	2	0	2	0.06	0	0	91.93	0	0	8760	470.05	470.05	124	102.52	102.52	17.79	4	2686	470.05	572.79	321.46	251.33	414.97	157.82	1924	38	35	4.13	4.37
Active	38	379.060232301	19.88	46.97	37.66	0	34.05	34.83	19.88	46.97	37.66	11	12	0	0	570.40	350.1	220.31	366.34	204.07	0	1.44	0	2	0	3	0.12	0	2	93.44	0	1	8357	448.76	448.76	130	71.09	71.09	17.27	5	2656	448.76	570.40	350.10	220.31	366.34	204.07	1886	36	2	3.23	3.23
Active	26	246.050378639	14.97	19.81	25.80	0	19.82	20.19	14.97	19.81	25.8	11	11	0	0	423.24	252.66	170.58	215.98	207.26	0	2.22	0	1	0	1	0.27	0	0	49.63	0	0	1845	318.95	318.95	86	43.37	43.37	11.43	5	746	318.95	423.24	252.66	170.58	215.98	207.26	566	23	6	2.67	2.73
Active	51	427.120191962	62.76	47.70	24.60	0	43.60	45.02	62.76	47.70	24.6	13	15	0	0	685.10	453.19	231.91	552.95	132.15	0	1.61	0	2	0	3	0.19	0	0	116.67	0	1	11114	565.46	565.46	174	105.76	105.76	22.92	8	3565	565.46	685.10	453.19	231.91	552.95	132.15	2568	44	5	2.92	2.92
Active	36	298.095356939	41.89	33.65	16.94	0	30.75	30.83	41.89	33.65	16.94	10	11	0	0	587.59	404.29	183.3	389.38	198.21	0	1.52	0	1	0	2	0.12	0	0	71.11	0	1	5253	412.76	412.76	118	82.33	82.33	16.26	6	1819	412.76	587.59	404.29	183.30	389.38	198.21	1250	30	2	3.82	3.82
Active	35	284.1136476	25.36	18.05	37.71	0	25.50	27.04	25.36	18.05	37.71	14	16	2	0	430.32	279.5	150.82	255.98	174.34	1	1.46	1	2	1	3	0.5	0	0	67.94	1	0	2651	379.08	379.08	136	44.62	44.62	15.42	2	1323	379.08	430.32	279.50	150.82	255.98	174.34	804	33	6	3.68	3.69
Active	40	241.167793605	27.96	32.25	22.55	0	26.14	27.58	27.96	32.25	22.55	17	17	1	0	478.31	327.65	150.67	384.17	94.14	3	2.42	1	1	3	1	0.85	0	0	50.42	0	0	1540	418.29	418.29	150	58.89	58.89	17.08	4	696	418.29	478.31	327.65	150.67	384.17	94.14	526	24	3	3.61	3.64
Active	39	387.0597535	35.53	46.02	21.60	0	32.64	34.38	35.53	46.02	21.6	14	15	0	0	588.46	301.22	287.24	273.4	315.06	0	1.75	0	2	0	2	0.19	0	0	91.92	0	0	8669	472.62	472.62	132	84.27	84.27	17.45	7	2570	472.62	588.46	301.22	287.24	273.40	315.06	1925	38	2	3.74	3.74
Active	50	403.1298839	42.26	32.53	50.75	0	40.43	41.85	42.26	32.53	50.75	16	17	0	0	720.43	506.19	214.23	569.34	151.09	0	1.46	0	2	0	2	0.25	0	0	97.86	0	0	14077	573.1	573.10	170	96.53	96.53	22.17	7	3268	573.1	720.43	506.19	214.23	569.34	151.09	2635	38	3	2.79	2.79
Active	79	500.298532997	58.30	65.96	43.72	-1	51.42	55.99	58.3	65.96	43.72	35	36	2	0	874.51	632.62	241.89	671.87	202.64	8	1.56	0	0	8	2	0.85	0	0	130.24	2	0	35717	815.43	815.43	302	148.88	148.88	33.99	17	6102	815.43	872.95	593.42	279.53	679.37	193.58	5246	47	4	0.30	-1.08
Active	32	323.0115986	46.20	31.41	17.41	0	31.19	31.67	46.2	31.41	17.41	9	10	0	0	533.28	294.66	238.62	428.37	104.92	0	1.59	0	2	0	2	0.07	0	0	67.19	0	0	4355	393.28	393.28	104	55.4	55.40	14.53	4	1580	393.28	533.28	294.66	238.62	428.37	104.92	1082	29	10	4.25	4.25
Active	50	343.189591677	41.89	38.16	32.39	0	37.21	37.48	41.89	38.16	32.39	19	20	1	0	591.19	404.12	187.07	509.85	81.34	1	1.71	0	1	1	2	0.42	0	0	88.87	1	0	6769	528.97	528.97	178	79.79	79.79	21.92	4	2037	528.97	591.19	404.12	187.07	509.85	81.34	1634	37	30	3.60	3.60
Active	30	271.044919019	19.23	24.68	38.95	0	28.09	27.62	19.23	24.68	38.95	11	11	0	0	508.99	313.87	195.12	314.64	194.35	0	2.13	0	1	0	1	0.1	0	0	48.50	0	0	1938	348.92	348.92	94	84.55	84.55	13.42	3	710	348.92	508.99	313.87	195.12	314.64	194.35	584	20	14	1.55	1.55
Active	45	389.086783832	43.86	57.10	25.57	0	39.56	42.18	43.86	57.10	25.57	11	13	0	0	695.99	561.45	134.54	577.45	118.54	0	1.52	0	0	0	3	0.28	0	0	95.78	0	3	7616	525.02	525.02	158	84.08	84.08	20.00	5	2134	525.02	695.99	561.45	134.54	577.45	118.54	1799	40	3	5.23	5.23
Active	39	349.103811192	34.29	40.43	23.29	0	31.79	32.67	34.29	40.43	23.29	11	13	1	0	550.56	305.07	245.48	392.63	157.93	0	1.29	1	2	0	4	0.29	0	2	93.06	0	2	5328	444.41	444.41	148	60.06	60.06	17.49	5	1977	444.41	550.56	305.07	245.48	392.63	157.93	1471	37	4	3.84	3.85
Active	33	350.9999886	36.42	45.31	21.60	0	34.05	34.44	36.42	45.31	21.6	5	7	0	0	514.43	298.9	215.53	436.42	78.01	0	1.47	0	1	0	3	0.13	0	0	74.79	0	2	4472	395.84	395.84	114	45.56	45.56	15.01	3	1730	395.84	514.43	298.90	215.53	436.42	78.01	1152	33	2	4.00	4.00
Active	44	400.0873081	28.76	40.56	53.71	-1	41.59	41.01	28.76	40.56	53.71	10	12	0	0	655.53	408.97	246.56	561.06	94.47	0	1.36	0	2	0	3	0.11	0	0	97.96	0	1	9877	505.57	505.57	148	81.07	81.07	19.96	4	2767	505.57	661.47	396.36	265.10	559.22	102.24	2132	40	3	2.85	2.75
Active	49	388.15354052	29.58	38.63	56.20	0	43.00	41.47	29.58	38.63	56.2	7	10	0	0	677.55	467.49	210.06	583.81	93.73	0	1.18	0	2	0	4	0.14	0	0	110.26	0	2	11678	547.14	547.14	170	82.18	82.18	22.29	7	3247	547.14	677.55	467.49	210.06	583.81	93.73	2505	42	3	2.67	2.67
Active	43	363.115381361	56.18	39.87	23.68	0	39.81	39.91	56.18	39.87	23.68	6	8	0	0	634.73	451.02	183.72	542.04	92.69	0	1.16	0	1	0	4	0.16	0	2	97.48	0	3	6987	488.18	488.18	152	72.7	72.70	19.53	4	2348	488.18	634.73	451.02	183.72	542.04	92.69	1731	41	4	3.73	3.73
Active	38	356.074325012	52.57	32.81	20.81	-1	34.62	35.4	52.57	32.81	20.81	8	10	0	0	608.80	413.45	195.35	471.09	137.70	0	1.22	0	1	0	3	0.06	0	0	87.21	0	2	7923	442.24	442.24	126	81.18	81.18	17.41	4	2377	442.24	617.34	395.60	221.74	471.03	146.31	1755	35	6	1.81	1.55
Active	49	466.064053	50.32	45.25	36.27	0	43.65	43.94	50.32	45.25	36.27	13	17	2	0	635.91	427.23	208.68	518.26	117.66	1	1.05	1	3	1	5	0.27	0	0	121.71	1	1	11551	558.62	558.62	186	88.33	88.33	22.09	4	3654	558.62	635.91	427.23	208.68	518.26	117.66	2568	51	5	3.72	3.72
Active	45	357.132470724	27.42	33.84	49.02	0	35.71	36.76	27.42	33.84	49.02	14	15	0	0	659.55	451.66	207.89	530.75	128.80	0	1.77	0	2	0	2	0.17	0	0	91.97	0	0	8270	508.11	508.11	148	105.76	105.76	20.15	6	2412	508.11	659.55	451.66	207.89	530.75	128.8	1888	39	6	1.82	1.83
Active	33	305.06228316	50.08	31.64	16.20	0	33.30	32.64	50.08	31.64	16.2	1	3	0	0	494.51	308.51	186	386.21	108.30	0	1.38	0	1	0	4	0	0	2	77.60	0	3	3796	373.81	373.81	114	54.35	54.35	15.38	2	1799	373.81	494.51	308.51	186.00	386.21	108.3	1065	34	7	3.38	3.39
Active	38	343.0611356	32.49	31.70	36.55	0	33.68	33.58	32.49	31.70	36.55	12	14	1	0	566.43	378.11	188.32	493.14	73.29	0	1.34	0	2	0	3	0.17	0	0	84.44	1	0	6111	447.13	447.13	134	63.68	63.68	17.12	5	2002	447.13	566.43	378.11	188.32	493.14	73.29	1481	38	1	3.55	3.55
Active	43	345.114712658	25.02	32.61	53.43	0	37.36	37.02	25.02	32.61	53.43	12	13	0	0	612.27	374.15	238.12	441.28	170.99	1	1.58	0	2	1	2	0.24	0	0	80.12	0	0	7493	490.71	490.71	146	76.43	76.43	19.18	6	2278	490.71	612.27	374.15	238.12	441.28	170.99	1630	33	3	4.27	4.27
Active	38	347.084081233	41.16	45.04	21.05	0	37.87	35.75	41.16	45.04	21.05	3	6	0	0	555.42	363.97	191.45	478.35	77.06	0	1.13	0	1	0	4	0	0	0	90.19	0	3	6814	438.05	438.05	128	72.7	72.70	17.68	4	2204	438.05	555.42	363.97	191.45	478.35	77.06	1634	35	5	3.29	3.29
Active	38	410.98884	36.28	28.45	45.73	-1	36.13	36.82	36.28	28.45	45.73	13	14	0	0	604.02	367	237.02	441.9	162.11	0	1.54	0	1	0	2	0.13	0	0	79.39	0	1	7793	454.79	454.79	124	89.8	89.80	17.17	6	2109	454.79	613.23	363.73	249.50	443.37	169.86	1664	31	3	2.33	1.98
Active	37	342.059730991	39.45	39.21	18.82		32.49	39.21	18.82	false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true	11	1	0	NA	false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false	0	1.54	0	3	false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true	0	4	91;81;68;71;81;94;75;80;83;76;111;116;101;94;109;114;95;100;123;123;0;95;118;118;116;139;0;0;0;0;0;0;0;0;0;0;0	7;6;5;6;7;8;5;6;6;5;8;8;7;6;7;8;7;8;9;9;0;6;7;7;8;9;0;0;0;0;0;0;0;0;0;0;0	3	100.44	3703	6;6;6;6;6;6;6;6;6;6;5;5;5;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0			130	NA		3	3.26;3.43;4.04;4.03;3.79;2.71;3.92;3.85;2.80;3.67;2.51;1.62;2.56;2.64;2.46;2.52;3.30;2.67;1.39;1.39;0.00;2.68;1.24;1.24;2.46;0.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00	2432	NA		1236	48	NA	NA	averagemicrospeciescharge:FAILED	chargedistribution:FAILED	isoelectricpoint:FAILED		NA					
Active	36	331.073910473	32.86	39.41	24.07	-1	32.58	32.11	32.86	39.41	24.07	11	13	1	0	508.73	299.42	209.31	324.96	183.77	0	1.24	0	1	0	3	0.14	0	0	76.07	1	1	6434	408.23	408.23	122	94.6	94.60	16.42	4	1946	408.23	522.67	299.22	223.45	336.02	186.64	1449	30	4	-0.51	-0.63
Active	51	436.120526314	52.53	48.98	33.80	-1	44.70	45.1	52.53	48.98	33.8	9	12	0	0	744.75	530.83	213.93	603.17	141.58	0	1.1	0	2	0	4	0.18	0	0	121.37	0	2	15257	585.68	585.68	176	96.57	96.57	23.11	7	4060	585.68	755.15	530.90	224.25	613.38	141.77	3057	47	3	3.36	2.46
Active	26	277.0076608	26.22	16.07	38.95	0	29.29	27.08	26.22	16.07	38.95	3	4	0	0	446.69	286.45	160.24	379.92	66.78	0	1.6	0	1	0	3	0.08	0	2	57.71	0	2	1886	326.4	326.40	88	47.9	47.90	12.01	2	1016	326.4	446.69	286.45	160.24	379.92	66.78	605	28	2	3.20	3.20
Active	34	351.0244536	32.18	40.22	26.76	0	33.61	33.05	32.18	40.22	26.76	11	12	0	0	525.92	282.15	243.77	294.39	231.53	0	1.63	0	2	0	2	0	0	0	75.45	0	0	6279	407.96	407.96	108	70.23	70.23	15.57	3	1890	407.96	525.92	282.15	243.77	294.39	231.53	1434	31	5	3.38	3.38
Active	53	452.1363663	47.67	54.37	32.48	0	46.50	44.84	47.67	54.37	32.48	12	14	0	0	594.30	373.8	220.5	514.22	80.08	0	1.25	0	2	0	4	0.23	0	2	124.83	0	2	16778	609.37	609.37	190	107.88	107.88	23.86	9	4187	609.37	594.30	373.80	220.50	514.22	80.08	3355	45	5	4.74	4.75
Active	35	337.0521124	34.31	22.52	44.00	0	35.64	33.61	34.31	22.52	44	4	6	0	0	542.26	348.7	193.56	412.17	130.09	0	1.1	0	2	0	4	0.06	0	2	83.69	0	2	6713	416.59	416.59	120	82.02	82.02	16.26	5	2100	416.59	542.26	348.70	193.56	412.17	130.09	1545	33	6	2.94	2.94
Active	17	361.99918	19.97	16.74	10.27	0	21.77	15.66	19.97	16.74	10.27	6	7	1	0	359.69	191.22	168.47	93.42	266.27	1	1.86	0	1	1	2	0	0	0	31.83	1	0	385	222.76	222.76	54	55.76	55.76	7.97	0	372	222.76	359.69	191.22	168.47	93.42	266.27	179	17	1	1.11	1.11
Active	37	322.077598873	36.95	40.47	22.98	0	34.06	33.47	36.95	40.47	22.98	9	11	1	0	526.26	371.07	155.19	442.38	83.88	3	1.29	1	2	3	4	0.28	0	2	81.35	0	2	4618	419.23	419.23	140	66.89	66.89	16.74	4	1528	419.23	526.26	371.07	155.19	442.38	83.88	1237	34	2	4.21	4.22
Active	47	435.0655696	28.07	40.60	64.30	0	41.54	44.32	28.07	40.60	64.3	12	14	0	0	753.16	487.46	265.7	590.87	162.28	0	1.27	0	2	0	3	0.21	0	0	107.83	0	1	13203	567.1	567.10	158	91.8	91.80	21.17	8	3621	567.1	753.16	487.46	265.70	590.87	162.28	2645	43	2	3.18	3.30
Active	52	398.174275964	46.84	55.93	29.71	0	45.15	44.16	46.84	55.93	29.71	7	10	0	0	712.24	450.02	262.22	629.52	82.73	0	0.95	0	3	0	4	0.08	0	0	108.89	0	1	19090	572.76	572.76	178	68.18	68.18	23.75	8	4528	572.76	712.24	450.02	262.22	629.52	82.73	3273	39	4	3.96	3.96
Active	45	360.125611694	24.95	36.28	52.23	0	36.92	37.82	24.95	36.28	52.23	14	16	1	0	516.34	377.94	138.4	400.95	115.39	0	1.4	0	1	0	3	0.41	0	0	91.11	1	1	6018	491.99	491.99	166	79.05	79.05	19.87	3	2182	491.99	516.34	377.94	138.40	400.95	115.39	1546	40	2	3.49	3.49
Active	54	408.179755269	43.70	28.06	61.45	0	43.76	44.4	43.7	28.06	61.45	15	17	1	0	701.67	521.64	180.04	594.54	107.13	0	1.12	0	2	0	4	0.27	0	2	116.12	1	1	13648	591.31	591.31	196	95.69	95.69	24.11	6	3963	591.31	701.67	521.64	180.04	594.54	107.13	2796	48	4	2.20	2.20
Active	36	421.968439	35.20	43.46	31.11	0	36.81	36.59	35.2	43.46	31.11	13	14	0	0	569.03	281.87	287.15	311.36	257.66	0	1.54	0	2	0	2	0	0	0	85.50	0	0	8128	443.15	443.15	114	113.37	113.37	16.48	4	2330	443.15	569.03	281.87	287.15	311.36	257.66	1784	35	5	3.34	3.34
Active	27	296.99749	26.73	14.40	42.57	0	26.68	27.9	26.73	14.40	42.57	8	9	0	0	481.97	216.92	265.05	302.42	179.54	0	1.49	0	1	0	2	0	0	0	57.98	0	1	3042	339.99	339.99	86	84.27	84.27	12.41	3	1061	339.99	481.97	216.92	265.05	302.42	179.54	815	23	3	3.61	3.61
Active	44	333.158960252	38.95	50.03	23.01	0	37.38	37.33	38.95	50.03	23.01	6	8	0	0	576.42	414	162.42	514.94	61.48	0	1.06	0	1	0	4	0.16	0	2	88.67	0	3	7691	477.87	477.87	156	71.14	71.14	19.96	5	2161	477.87	576.42	414.00	162.42	514.94	61.48	1729	34	18	4.23	4.26
Active	46	368.141930462	50.53	41.93	27.83	0	37.40	40.1	50.53	41.93	27.83	11	14	1	0	570.71	384.52	186.19	404.23	166.48	1	1.08	1	1	1	4	0.5	0	0	95.54	0	3	8418	519.7	519.70	176	93.42	93.42	20.42	4	2560	519.7	570.71	384.52	186.19	404.23	166.48	1875	37	1	3.64	3.64
Active	41	348.104482325	26.71	34.66	45.01	0	38.81	35.46	26.71	34.66	45.01	5	7	0	0	498.13	336.3	161.84	431.86	66.27	0	1.1	0	2	0	4	0.11	0	2	89.89	0	2	7170	465.56	465.56	144	51.02	51.02	18.74	4	2350	465.56	498.13	336.30	161.84	431.86	66.27	1670	36	3	3.22	3.22
Active	43	324.129634446	33.19	28.58	48.54	1	37.46	36.77	33.19	28.58	48.54	8	10	1	0	564.83	384.27	180.56	514.72	50.11	0	1.21	1	3	0	4	0.32	0	2	80.65	0	1	5100	478	478.00	162	37.56	37.56	19.23	4	1856	478	538.57	386.32	152.25	485.11	53.46	1293	33	5	3.96	1.06
Active	27	256.037173358	27.22	32.82	12.60	0	25.16	24.21	27.22	32.82	12.6	7	9	1	0	375.36	210.97	164.39	219.17	156.19	0	1.82	1	3	0	3	0	0	0	66.57	0	0	1547	299.61	299.61	90	94.83	94.83	12.72	0	1274	299.61	375.36	210.97	164.39	219.17	156.19	592	38	7	3.21	3.31
Active	46	326.163042576	40.92	38.98	27.42	0	35.06	35.77	40.92	38.98	27.42	13	15	1	0	601.12	413.82	187.3	481.16	119.95	0	1.25	1	2	0	3	0.42	0	0	82.09	0	1	7020	509.39	509.39	172	72.05	72.05	20.23	7	2028	509.39	601.12	413.82	187.30	481.16	119.95	1580	34	20	3.87	3.87
Active	45	390.1029581	49.17	40.29	27.21	0	39.30	38.89	49.17	40.29	27.21	9	11	0	0	582.46	412.22	170.24	489.09	93.38	0	1.46	0	1	0	3	0.24	0	0	93.14	0	2	8034	522.78	522.78	154	89.19	89.19	20.24	7	2595	522.78	582.46	412.22	170.24	489.09	93.38	1860	35	9	3.96	3.98
Active	37	378.003762	22.96	36.56	47.01	0	36.03	35.51	22.96	36.56	47.01	10	11	0	0	545.72	374.54	171.18	429.97	115.74	0	1.66	0	2	0	2	0.12	0	0	73.82	0	0	4225	430.01	430.01	122	61.36	61.36	16.71	2	1561	430.01	545.72	374.54	171.18	429.97	115.74	1133	33	5	5.10	5.10
Active	36	343.0312887	24.36	30.38	49.08	-1	33.13	34.6	24.36	30.38	49.08	10	11	0	0	543.70	307.36	236.34	414.19	129.52	0	1.68	0	1	0	2	0.36	0	0	68.42	0	1	4097	433.94	433.94	126	52.08	52.08	15.92	4	1438	433.94	553.34	278.84	274.49	415.00	138.33	1047	29	3	4.06	3.22
Active	37	404.041803102	19.39	33.63	49.19	0	32.63	34.07	19.39	33.63	49.19	12	13	0	0	582.98	239.79	343.19	334.8	248.17	0	1.49	0	2	0	3	0.12	0	2	101.43	0	1	8169	448.28	448.28	128	41.13	41.13	16.74	4	2692	448.28	582.98	239.79	343.19	334.80	248.17	1955	40	3	5.92	5.92
Active	44	366.103813622	32.02	35.45	46.22	0	38.69	37.9	32.02	35.45	46.22	15	18	2	0	528.62	360.44	168.18	433.64	94.98	1	1.18	1	2	1	4	0.35	0	0	98.03	1	1	6763	485.96	485.96	168	79.19	79.19	19.66	4	2415	485.96	528.62	360.44	168.18	433.64	94.98	1704	41	5	3.11	3.14
Active	44	359.126991419	30.11	42.35	38.85	0	39.40	37.1	30.11	42.35	38.85	7	8	0	0	539.05	335.61	203.44	455.14	83.91	0	1.35	0	3	0	4	0.1	0	4	103.79	0	1	7756	474.5	474.50	154	82	82.00	20.14	3	3226	474.5	539.05	335.61	203.44	455.14	83.91	1898	47	7	2.57	2.60
Active	28	251.069476542	14.45	23.92	38.80	0	29.67	25.73	14.45	23.92	38.8	1	2	0	0	417.26	225.9	191.36	330.88	86.38	0	1.32	0	2	0	4	0	0	3	64.24	0	2	2092	316.34	316.34	100	68.76	68.76	13.09	1	1126	316.34	417.26	225.90	191.36	330.88	86.38	676	30	5	1.80	1.80
